_id,tipo,situacao,data,hora,bairro,endereco,numero,complemento,natureza,descricao,auto,moto,ciclom,ciclista,pedestre,onibus,caminhao,viatura,outros,vitimas
1815,SEM VÍTIMA,FINALIZADA,2015-07-26T00:00:00,05:41:00.000,CAMPO GRANDE,EST DE BELEM,,"CRUZAMENTO COM AV ANTÔNIO RANGEL, SEMÁFOMO 201 // EM FRENTE A CLÍNICA ORTOPÉDICA DO RECIFE",COLISÃO,COLISÃO ENVOLVENDO DOIS AUTOS SEM VÍTIMA,2,,,,,,,,,0
1816,COM VÍTIMA,FINALIZADA,2015-07-26T00:00:00,08:16:00.000,SANTO AMARO,AV JOAO DE BARROS,,PROX AO VIADUTO SENTIDO ENCRUZILHADA,COLISÃO,COLISAO DE ONIBUS E SHINERAY,,,,,,,,,,1
1817,COM VÍTIMA,CANCELADA,2015-07-26T00:00:00,10:19:00.000,TEJIPIÓ,RUA GENERAL MANUEL RABELO,,SEMAFORO 076,COLISÃO,COLISÃO ENTRE AUTO E MOTO C/V,1,1,,,,,,,,1
1818,SEM VÍTIMA,FINALIZADA,2015-07-26T00:00:00,12:00:00.000,ÁGUA FRIA,AV BEBERIBE,921,HÁ 200 METROS DO CAMPO DO ARRUDA SENTIDO CIDADE,COLISÃO,COLISÃO SEM VITIMA ENTRE UM ONIBUS E UM AUTO-PASSEIO,1,,,,,1,,,,0
1819,SEM VÍTIMA,CANCELADA,2015-07-26T00:00:00,13:29:00.000,BEBERIBE,AV BEBERIBE,,"PRÓXIMO A AUTO ESCOLA NOVA YORK, SENTIDO, SENTIDO SUBURBIO",COLISÃO,02 AUTOS,2,,,,,,,,,0
1820,SEM VÍTIMA,CANCELADA,2015-07-26T00:00:00,13:31:00.000,BOA VIAGEM,AV BOA VIAGEM,9778,EM FRETE AO RESTAURANTE ORLA,COLISÃO,COLISÃO SEM VITIMA,2,,,,,,,,,0
1821,SEM VÍTIMA,FINALIZADA,2015-07-26T00:00:00,15:33:00.000,IBURA,RUA EMILIO MONTEIRO FONSECA,1248,ESCOLA MUNICIPAL VILA OPERARIA,COLISÃO,COLISÃO SEM VITIMAS ENTRE DOIS AUTO-PASSEIO,2,,,,,,,,,0
1822,SEM VÍTIMA,FINALIZADA,2015-07-26T00:00:00,15:18:00.000,IPUTINGA,AV CAXANGA,,"E/F AO GOLF CLUB, SENTIDO CIDADE",COLISÃO,2 AUTOS,2,,,,,,,,,0
1823,SEM VÍTIMA,FINALIZADA,2015-07-26T00:00:00,15:24:00.000,IBURA,AV DOIS RIOS,111,EM FRENTE  A IGREJA BATISTA VALE DOIS RIOS,COLISÃO,DUA VIATURAS PM,2,,,,,,,,,0
1824,SEM VÍTIMA,FINALIZADA,2015-07-26T00:00:00,16:45:00.000,CASA FORTE,AV DEZESSETE DE AGOSTO,,EM FRENTE AO IBAMA,COLISÃO,DOIS AUTOS,2,,,,,,,,,0
1825,SEM VÍTIMA,FINALIZADA,2015-07-26T00:00:00,18:48:00.000,BOA VISTA,RUA BARAO DE SAO BORJA,,CRUZ COM A RUA JOSE DE ALENCA,COLISÃO,DOIS AUTO PASSEIO,2,,,,,,,,,0
1826,SEM VÍTIMA,CANCELADA,2015-07-26T00:00:00,19:02:00.000,AREIAS,RUA AURORA CACOTE,,NA RUA DA CHURRASCARIA GALETUS,COLISÃO,DOIS AUTO PASSEIO,2,,,,,,,,,0
1827,SEM VÍTIMA,FINALIZADA,2015-07-26T00:00:00,19:49:00.000,CASA FORTE,RUA DR JOAO SANTOS FILHO,,PROX A MEK DONALD \ ENF AO SHOPP PLAZA,COLISÃO,DOIS AUTO PASSEIO,2,,,,,,,,,0
1828,SEM VÍTIMA,FINALIZADA,2015-07-26T00:00:00,20:27:00.000,BOA VISTA,AV GOVERNADOR AGAMENON MAGALHAES,,EM CIMA DO VIADUTO DA JOÃO DE BARROS \ SENT OLINDA,COLISÃO,TRES AUTO,3,,,,,,,,,0
1829,SEM VÍTIMA,FINALIZADA,2015-07-26T00:00:00,21:03:00.000,IPSEP,AV RECIFE,,CRUZ COM AV RAIMUNDO DINIS \ SEMAFORO 247,COLISÃO,DOIS AUTO PASSEIO,2,,,,,,,,,0
1830,SEM VÍTIMA,FINALIZADA,2015-07-26T00:00:00,21:26:00.000,IPSEP,RUA JEAN EMILE FAVRE,,NO POSTO BR \ PROX A PADARIA PAÕ NORTE,COLISÃO,DOIS AUTO PASSEIO,2,,,,,,,,,0
1831,COM VÍTIMA,FINALIZADA,2015-07-26T00:00:00,22:05:00.000,JARDIM SÃO PAULO,AV RECIFE,,CRUZAMENTO COM A AV SAN MARTIN,COLISÃO,C/V ENTRE AUTO E MOTO,1,1,,,,,,,,1
1832,SEM VÍTIMA,CANCELADA,2015-07-26T00:00:00,22:41:00.000,IBURA,AV SERRA DA MANTIQUEIRA,51340,PROX A SEMBLEAR DE DEUS,COLISÃO,DOIS AUTO PASSEIO,2,,,,,,,,,0
1833,SEM VÍTIMA,CANCELADA,2015-07-26T00:00:00,23:13:00.000,ÁGUA FRIA,RUA DA REGENERACAO,,A POIS O MERCADO DE AGUA FRIA,COLISÃO,MOTO E AUTO,2,,,,,,,,,0
1834,COM VÍTIMA,FINALIZADA,2015-07-26T00:00:00,23:03:00.000,BOA VIAGEM,RUA BALTAZAR PASSOS,,CRUZ COM A SA E SOUZA,COLISÃO,MOTO E AUTO,2,,,,,,,,,1
1835,SEM VÍTIMA,FINALIZADA,2015-07-27T00:00:00,01:22:00.000,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,570,EM FRETE AO ARMAZEM CORAL SENTIDO AEROPORTO,COLISÃO,COLISÃO ENTRE DOIS AUTOS,2,,,,,,,,,0
1836,SEM VÍTIMA,FINALIZADA,2015-07-27T00:00:00,07:29:00.000,IMBIRIBEIRA,RUA CORONEL FABRICIANO,4115,EM FRENTE DA TRANSPORTADORA PERILON E  CONSTRUÇÃO DO NOVO ATACADO DOS PRESENTE,COLISÃO,COL.S/V NO SET/RETONO PARA INTEGRAÇÃO TANCREDO NEVES,1,,,,,1,,,,0
1837,SEM VÍTIMA,FINALIZADA,2015-07-27T00:00:00,07:50:00.000,GRAÇAS,AV GOVERNADOR AGAMENON MAGALHAES,,PROX  AO  BOM PREÇO  CRUZ  COM  PARQUE  AMORIM   EM BAIXO DO SEMAFORO 173,COLISÃO,COLISÃO SEM  VITIMAS,1,,,,,1,,,,0
1838,SEM VÍTIMA,FINALIZADA,2015-07-27T00:00:00,07:55:00.000,CORDEIRO,RUA GOMES TABORDA,1071,EM FRENTE A PANIFICDORA SÃO PEDRO,COLISÃO,COLISÃO ENTRE DOIS AUTOS,2,,,,,,,,,0
1839,SEM VÍTIMA,FINALIZADA,2015-07-27T00:00:00,08:06:00.000,CAXANGÁ,AV CAXANGA,,NO SEMAFORO DE Nº262 E EM FRENTE DA INTEGRAÇÃO,COLISÃO,COL.S/V NO SET/SUB,1,,,,,1,,,,0
1840,SEM VÍTIMA,FINALIZADA,2015-07-27T00:00:00,09:16:00.000,BOA VIAGEM,AV BOA VIAGEM,,EM FRENTE DA IGREJINHA DE BOA VIAGEM,COLISÃO,GM JOÃO RICARDO E ROBERTO JA NO LOCAL,2,,,,,,,,,0
1841,SEM VÍTIMA,FINALIZADA,2015-07-27T00:00:00,10:26:00.000,CASA AMARELA,RUA DAS PERNAMBUCANAS,,"",QUEDA DE ÁRVORE,"QUEDA DE ÁRVORE, APOIO EMLURB",,,,,,,,,,0
1842,COM VÍTIMA,FINALIZADA,2015-07-27T00:00:00,10:48:00.000,APIPUCOS,RUA 18 DE DEZEMBRO,,PROX  AO  DECIMO 1 BATALHÃO E/F A  FUNDAÇÃO  GILBERTO  FREIRE,COLISÃO,COLISÃO COM VITIMAS SOCORRIDAS PELOS BOMBEIROS,2,,,,,1,,,,2
1843,SEM VÍTIMA,CANCELADA,2015-07-27T00:00:00,10:47:00.000,PINA,AV ANTONIO DE GOES,218,EM FRENTE DO POSTO BR,COLISÃO,COL.S/V,2,,,,,,,,,0
1844,SEM VÍTIMA,FINALIZADA,2015-07-27T00:00:00,11:19:00.000,SANTO AMARO,RUA ARQUIMEDES DE OLIVEIRA,158,PROX  A RM EXPRESS,COLISÃO,COLISÃO  SEM VITIMAS,2,,,,,,,,,0
1845,SEM VÍTIMA,CANCELADA,2015-07-27T00:00:00,11:40:00.000,AFOGADOS,RUA AUGUSTO CALHEIROS,,AO LADO DO SEMAFORO 553,COLISÃO,COLISÃO ENTRE DUAS MOTOCICLETAS,,2,,,,,,,,0
1846,SEM VÍTIMA,FINALIZADA,2015-07-27T00:00:00,11:35:00.000,AREIAS,AV RECIFE,,SENTIDO BR  E/F  AO  MACRO,COLISÃO,COLISÃO  SEM  VITIMAS,1,,,,,,1,,,0
1847,SEM VÍTIMA,FINALIZADA,2015-07-27T00:00:00,11:51:00.000,BOA VIAGEM,RUA PROF AURELIO DE CASTRO CAVALCANTI,,"AO LADO DO CANAL, PROXIMO AO CLUB DAS ÁGUIAS",COLISÃO,COLISÃO ENTRE DOIS AUTOMOVEIS,2,,,,,,,,,0
1848,COM VÍTIMA,FINALIZADA,2015-07-27T00:00:00,13:24:00.000,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,,NA FRENTE DO GERALDÃO SENTIDO CIDADE,COLISÃO,COLISÃO ENTRE UMA MOTO E DOIS AUTOS,2,1,,,,,,,,1
1849,SEM VÍTIMA,CANCELADA,2015-07-27T00:00:00,13:26:00.000,BAIRRO DO RECIFE,RUA DO BOM JESUS,,PROX DA TORRE MALAKOFF E/F DOS ARMAZEM,COLISÃO,COLISAO DE DOIS AUTOS S/V,2,,,,,,,,,0
1850,SEM VÍTIMA,FINALIZADA,2015-07-27T00:00:00,14:33:00.000,TORRE,RUA JOSE DE HOLANDA,824,AO LADO DO ANTIGO CLUBE DO SARGENTO E/F DO EDF POUSADA DA TORRE,COLISÃO,COLISAO DE CAMINHAO E AUTO S/V,1,,,,,,1,,,0
1851,SEM VÍTIMA,FINALIZADA,2015-07-27T00:00:00,14:56:00.000,BOA VIAGEM,AV BOA VIAGEM,1174,APÓS O SEGUNDO JARDIM,COLISÃO,COLISÃO ENTRE DOIS AUTOS,2,,,,,,,,,0
1852,SEM VÍTIMA,FINALIZADA,2015-07-27T00:00:00,15:11:00.000,BOA VISTA,RUA GONCALVES MAIA,,NA RUA DO CONSULADO AMERICANO,COLISÃO,S/V ENTRE DOIS AUTOS,2,,,,,,,,,0
1853,SEM VÍTIMA,CANCELADA,2015-07-27T00:00:00,15:16:00.000,BOA VIAGEM,RUA DOS NAVEGANTES,595,EM FRENTE  DO EDF CRISTINA /,COLISÃO,CAMINHÃO OBSTRUINDO ENTRADA ESAIDA DE GARAGEM,,,,,,,,,,0
1854,COM VÍTIMA,CANCELADA,2015-07-27T00:00:00,15:15:00.000,DERBY,AV GOVERNADOR AGAMENON MAGALHAES,,EM FRENTE A PRAÇA DO DERBY SENTIDO BOA VIAGEM,COLISÃO,AUTO E MOTO,1,1,,,,,,,,1
1855,SEM VÍTIMA,FINALIZADA,2015-07-27T00:00:00,15:19:00.000,GRAÇAS,RUA JOAQUIM NABUCO,,SENTIDO BOA VIAGEM EM FRENTE O HOSPITAL DA RESTAURAÇÃO,COLISÃO,3 AUTOS,3,,,,,,,,,0
1856,SEM VÍTIMA,FINALIZADA,2015-07-27T00:00:00,15:24:00.000,IMBIRIBEIRA,RUA LEONOR SOARES PESSOA,57,EM FRENTE AO EDF ILHA DE SANTORINI,COLISÃO,CAMINHÃO DE LIXO E AUTO,1,,,,,,1,,,0
1857,SEM VÍTIMA,FINALIZADA,2015-07-27T00:00:00,15:25:00.000,IBURA,RUA FERNANDO TOMAZ DA SILVA,30,EM FRENTE A FORTE DA CONSTRUÇÃO / A RUA FICA EM FRENTE A IGREJA SANTO EXPEDITO,COLISÃO,DOIS TAXIS,2,,,,,,,,,0
1858,SEM VÍTIMA,FINALIZADA,2015-07-27T00:00:00,15:31:00.000,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,,EM FRENTE A ITALIANA SENTIDO AEROPORTO,COLISÃO,COLISÃO ENTRE DOIS ALTOS,2,,,,,,,,,0
1859,SEM VÍTIMA,FINALIZADA,2015-07-27T00:00:00,15:46:00.000,CAMPO GRANDE,RUA ODORICO MENDES,78,AO LADO DO COLEGIO JESUS CRUCIFICADO  PROX DO POSTO IPIRANGA,COLISÃO,COLISAO  DE DOIS AUTOS S/V,2,,,,,,,,,0
1860,SEM VÍTIMA,FINALIZADA,2015-07-27T00:00:00,16:25:00.000,ENCRUZILHADA,AV BEBERIBE,,E/F DA ACADEMIA VIA FORMA,COLISÃO,COLISAO DE DOIS AUTOS S/V,,,,,,,,,,0
1861,SEM VÍTIMA,CANCELADA,2015-07-27T00:00:00,16:45:00.000,ESTÂNCIA,AV RECIFE,,SENTIDO BR 101 EM FRENTE O CAFÉ ROIAL,COLISÃO,COMINHÃO E AUTO,1,,,,,,1,,,0
1862,COM VÍTIMA,CANCELADA,2015-07-27T00:00:00,17:53:00.000,CORDEIRO,AV INACIO MONTEIRO,,NA ESQUINA DA CASA DE FESTA 341,COLISÃO,COLISAO E MOTO  E AUTO COM UMA VITIMA,,,,,,,,,,1
1863,SEM VÍTIMA,FINALIZADA,2015-07-27T00:00:00,17:58:00.000,BOA VIAGEM,RUA PADRE CARAPUCEIRO,,NA AREA EXTERNA  DO SHOPPING RECIFE E/F DA MC DONALDS,COLISÃO,COLISAO DE DOIS AUTOS S/V,2,,,,,,,,,0
1864,SEM VÍTIMA,FINALIZADA,2015-07-27T00:00:00,18:27:00.000,BOA VISTA,AV JOAO DE BARROS,800,PROX AO VIADUTO E AO SANTANDE SENTIDO ESPINHEIRO,COLISÃO,DOIS AUTO PASSEIO,2,,,,,,,,,0
1865,SEM VÍTIMA,FINALIZADA,2015-07-27T00:00:00,18:34:00.000,BOA VIAGEM,AV CONSELHEIRO AGUIAR,,CRUZAMENTO DO SEMAFORO 549,COLISÃO,DOIS AUTO PASSEIO,2,,,,,,,,,0
1866,SEM VÍTIMA,EM ATENDIMENTO,2015-07-27T00:00:00,19:07:00.000,ILHA DO RETIRO,RUA JOSE MUCIO MONTEIRO,,ENF A SECAPE \,COLISÃO,ONIBUS E AUTO PASSEIO,1,,,,,1,,,,0
1867,SEM VÍTIMA,CANCELADA,2015-07-27T00:00:00,19:19:00.000,ESTÂNCIA,AV RECIFE,,POSTO BR \ SENT CEASA,COLISÃO,DOIS AUTO PASSEIO,2,,,,,,,,,0
1868,SEM VÍTIMA,FINALIZADA,2015-07-27T00:00:00,18:23:00.000,BOA VIAGEM,AV ENGENHEIRO DOMINGOS FERREIRA,,PROX AO CARREFOU,COLISÃO,VT DO CHOQUE E AUTO,1,,,,,,,1,,0
1869,SEM VÍTIMA,FINALIZADA,2015-07-27T00:00:00,20:48:00.000,MACAXEIRA,AV NORTE,,PROX A INTEGRAÇÃO DA MACAXEIRA \ SENT CIDADE,COLISÃO,CAMINHÃO E AUTO,1,,,,,,1,,,0
1870,SEM VÍTIMA,FINALIZADA,2015-07-27T00:00:00,21:18:00.000,SANTO AMARO,AV GOVERNADOR AGAMENON MAGALHAES,,DENTRO DO ESTACIONAMENTO DO SHOPPING TACARUNA ESTACIONAMENTO COLUNA E 1 A,COLISÃO,AUTO E MOTO DENTRO DO ESTACIONAMENTO DO SHOPPING ( COLUNA E 1 A ),1,1,,,,,,,,0
1871,SEM VÍTIMA,FINALIZADA,2015-07-27T00:00:00,21:18:00.000,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,,PROX A UPA DA IMBIRIBEIRA,COLISÃO,CARRETA E AUTO,1,,,,,,1,,,0
1872,SEM VÍTIMA,FINALIZADA,2015-07-27T00:00:00,22:56:00.000,CAMPINA DO BARRETO,RUA DAS MOCAS,,CRUZ COM A RUA DA CONSTANCIA \ SEMAFORO 363,COLISÃO,DOIS AUTO PASSEIO,2,,,,,,,,,0
1873,SEM VÍTIMA,FINALIZADA,2015-07-27T00:00:00,23:34:00.000,TORRÕES,AV ENGENHEIRO ABDIAS DE CARVALHO,,ENF A UPA DA ABDIAS,COLISÃO,VIATURA DO GATE E AUTO,2,,,,,,,,,0
1874,SEM VÍTIMA,FINALIZADA,2015-07-27T00:00:00,23:43:00.000,PINA,AV ANTONIO DE GOES,,SEMAFORO 538 \ ENF A DETROIDE CAR,COLISÃO,ONIBUS E AUTO PASSEIO,1,,,,,1,,,,0
1875,SEM VÍTIMA,FINALIZADA,2015-07-28T00:00:00,06:05:00.000,BOA VIAGEM,RUA SA E SOUZA,,E/F AO  CURSO DE INGLES  ELC,COLISÃO,COLISÃO  SEM  VITIMAS,1,,,,,1,,,,0
1876,SEM VÍTIMA,EM ATENDIMENTO,2015-07-28T00:00:00,10:41:00.000,BEBERIBE,AV BEBERIBE,376,"EM FRENTE A GALERIA CAMPOS, AO LADO DO BANCO DO BRASIL",COLISÃO,"COLISÃO ENTRE AUTO, E MOTO COM CARROÇA DE GÁS S/V",1,1,,,,,,,,0
1877,SEM VÍTIMA,FINALIZADA,2015-07-28T00:00:00,11:03:00.000,IBURA,RUA DEPUTADO AFRANIO GODOY,464,E/F A FABRICA DA FREVO,COLISÃO,COLISÃO SEM VITIMAS,1,,,,,,1,,,0
1878,SEM VÍTIMA,FINALIZADA,2015-07-28T00:00:00,11:16:00.000,SAN MARTIN,AV ENGENHEIRO ABDIAS DE CARVALHO,,PRÓXIMO A FACULDADE ESTACIO,COLISÃO,"COLISÃO ENTRE TRÊS VEÍCULOS, SEM VÍTIMAS",3,,,,,,,,,0
1879,SEM VÍTIMA,FINALIZADA,2015-07-28T00:00:00,11:44:00.000,JORDÃO,AV MARIA IRENE,,DENTRO DA BASE  AEREA DA  AERONAULTICA,COLISÃO,COLISÃO  SEM VITIMAS,2,,,,,,,,,0
1880,SEM VÍTIMA,CANCELADA,2015-07-28T00:00:00,11:54:00.000,CASA AMARELA,AV NORTE,,SENTIDO  CIDADE  PROX AO SESC  E/F AO POSTO DE GASOLINA BR,COLISÃO,COLISÃO SEM VITIMAS,2,,,,,,,,,0
1881,SEM VÍTIMA,FINALIZADA,2015-07-28T00:00:00,12:15:00.000,SANTO AMARO,AV JOAO DE BARROS,,EM FRENTE AO CLUBE DOS OFICIAIS DA PM  /  SENTIDO CIDADE,COLISÃO,DOIS AUTOS,2,,,,,,,,,0
1882,SEM VÍTIMA,FINALIZADA,2015-07-28T00:00:00,12:49:00.000,TORREÃO,RUA DJALMA FARIAS,213,"ESQUINA DA ESCOLA DA  ASSEMBLÉIA DE DEUS, EDF DELINA, POR TRÁS DA PRAÇA PICANHA.",COLISÃO,02 AUTOS,2,,,,,,,,,0
1883,SEM VÍTIMA,CANCELADA,2015-07-28T00:00:00,12:55:00.000,SANTO AMARO,AV GOVERNADOR AGAMENON MAGALHAES,,FICA SENTIDO RECIFE OLINDA PROX AO POSTO DISLUB,COLISÃO,COLISÃO ENTRE DOIS AUTOS,2,,,,,,,,,0
1884,SEM VÍTIMA,EM ATENDIMENTO,2015-07-28T00:00:00,13:00:00.000,BOA VIAGEM,AV ENGENHEIRO DOMINGOS FERREIRA,2188,E/F A PARADIA AZUL MAR,COLISÃO,02 AUTOS,2,,,,,,,,,0
1885,SEM VÍTIMA,FINALIZADA,2015-07-28T00:00:00,13:02:00.000,DERBY,AV GOVERNADOR AGAMENON MAGALHAES,,EM FRENTE A RESTAURAÇÃO,COLISÃO,DOIS AUTOS /  SUB CRUZ NO LOCAL,2,,,,,,,,,0
1886,SEM VÍTIMA,CANCELADA,2015-07-28T00:00:00,13:14:00.000,SANTO AMARO,RUA SAO GERALDO,101,E/F DA SDS,COLISÃO,COLISAO DE QUATRO AUTOS S/V,4,,,,,,,,,0
1887,SEM VÍTIMA,CANCELADA,2015-07-28T00:00:00,13:16:00.000,IPSEP,RUA JEAN EMILE FAVRE,,E/F A PADARIA PAN NORTE,COLISÃO,02 AUTOS,3,,,,,,,,,0
1888,SEM VÍTIMA,CANCELADA,2015-07-28T00:00:00,13:45:00.000,ENCRUZILHADA,LGO ENCRUZILHADA,,NO LARGO DA ENCRUZILHADA,COLISÃO,COLISAO DE ONIBUS E TAXI S/V,1,,,,,1,,,,0
1889,SEM VÍTIMA,CANCELADA,2015-07-28T00:00:00,13:56:00.000,CIDADE UNIVERSITÁRIA,RUA PROFESSOR ANTONIO COELHO,,UMA RUA POR TRÁS DA CAXANGÁ VEICULO,COLISÃO,COLISÃO ENTRE UMA AUTO E UMA MOTO,1,1,,,,,,,,0
1890,SEM VÍTIMA,FINALIZADA,2015-07-28T00:00:00,14:33:00.000,AFOGADOS,EST DOS REMEDIOS,,E/F DA BIG BEM NO SEMAFORO 053,COLISÃO,COLISAO DE CAMINHAO E AUTO S/V,1,,,,,,1,,,0
1891,SEM VÍTIMA,FINALIZADA,2015-07-28T00:00:00,15:07:00.000,BOA VIAGEM,RUA DO CANAL,1,E/F DO MARTELINHO DE OURO N 01  NA SAIDA DO TUNEL DA BEIRA CANAL S/T SHOPPING RECIFE,COLISÃO,COLISAO TRES AUTOS S/V,3,,,,,,,,,0
1892,SEM VÍTIMA,FINALIZADA,2015-07-28T00:00:00,15:17:00.000,BOA VIAGEM,AV ENGENHEIRO DOMINGOS FERREIRA,801,LADO ESQUERDO DA VIA  APOS O CLINICAL  CENTER,COLISÃO,DOIS  AUTOS,2,,,,,,,,,0
1893,SEM VÍTIMA,FINALIZADA,2015-07-28T00:00:00,15:21:00.000,SANTO AMARO,AV VISCONDE DE SUASSUNA,99,E/F DO EDF PROMOTOR DE JUTIÇA PAULO CAVALCANTE,COLISÃO,COLISAO DE CAMINHAO E AUTO S/V,1,,,,,,1,,,0
1894,SEM VÍTIMA,FINALIZADA,2015-07-28T00:00:00,15:31:00.000,BOA VIAGEM,RUA ERNESTO DE PAULA SANTOS,292,COM A GENERAL AMERICANO FREIRE E/F PAGUE MENOS,COLISÃO,COLISAO DE AUTO E CAMINHAO S/V,1,,,,,,1,,,0
1895,SEM VÍTIMA,FINALIZADA,2015-07-28T00:00:00,16:00:00.000,SANTO AMARO,RUA TREZE DE MAIO,,RUA FREI CASSIMIRO,COLISÃO,COLISAO ENTRE UMA MOTO E UM AUTO,1,1,,,,,,,,0
1896,SEM VÍTIMA,FINALIZADA,2015-07-28T00:00:00,16:15:00.000,AFOGADOS,RUA SAO MIGUEL,,SEMÁFORO 333,COLISÃO,COLISÃO ENTRE UM CAMINHÃO E UM AUTO,1,,,,,,1,,,0
1897,SEM VÍTIMA,FINALIZADA,2015-07-28T00:00:00,16:27:00.000,TAMARINEIRA,RUA IAPU,,"CRUZ RUA BOA VONTADE, APÓS DO SEMÁFORO DA AVENIDA NORTE COM A CONEGO BARATA.",COLISÃO,02 AUTOS,2,,,,,,,,,0
1898,SEM VÍTIMA,CANCELADA,2015-07-28T00:00:00,16:30:00.000,IPSEP,AV RECIFE,,SENTIDO BOA VIAGEM EM FRENTE O NUMERAL 2775,COLISÃO,AUTO E ÔNIBUS,1,,,,,1,,,,0
1899,SEM VÍTIMA,EM ATENDIMENTO,2015-07-28T00:00:00,17:08:00.000,SANTO AMARO,RUA DA AURORA,,POR TRÁS DA CONTEX  /  FINAL DA RUA DA AURORA ATRAVESSANDO  O SINAL  PROX A PONTE DO LIMOEIRO,COLISÃO,DOIS AUTOS,2,,,,,,,,,0
1900,COM VÍTIMA,FINALIZADA,2015-07-28T00:00:00,18:17:00.000,MADALENA,AV CAXANGA,,"SEMAFARO 274, SENTIDO CIDADE",COLISÃO,COLISAO ENTRE AUTO E MOTO,1,1,,,,,,,,1
1901,SEM VÍTIMA,CANCELADA,2015-07-28T00:00:00,18:22:00.000,PARNAMIRIM,AV PARNAMIRIM,,PRAÇA DAO PARNAMIRIM E PROX AO SANTANDE,COLISÃO,DOIS AUTO,2,,,,,,,,,0
1902,SEM VÍTIMA,FINALIZADA,2015-07-28T00:00:00,19:31:00.000,CAXANGÁ,RUA GASTAO VIDIGAL,,NA ENTRADA DA UR 7 VARZEA,COLISÃO,COLISAO ENVOLVENDO AUTO E ONIBUS,1,,,,,1,,,,0
1903,COM VÍTIMA,FINALIZADA,2015-07-28T00:00:00,19:22:00.000,CAMPO GRANDE,RUA PROFESSOR FRANCISCO DA TRINDADE,290,PROX AO CLUB DAS PAZ,COLISÃO,AUTO E MOTO,1,1,,,,,,,,1
1904,SEM VÍTIMA,FINALIZADA,2015-07-28T00:00:00,19:49:00.000,BOA VIAGEM,RUA VISCONDE DE JEQUITINHONHA,,POSTO IPIRANGA E PROX A BASE DA ERONALTICA,COLISÃO,ONIBUS E AUTO,1,,,,,1,,,,0
1905,SEM VÍTIMA,CANCELADA,2015-07-28T00:00:00,19:45:00.000,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,,"PX A ALBUQUERQUE PNEUS, SENTIDO AEROPORTO",COLISÃO,COLISAO ENTRE AUTOS,2,,,,,,,,,0
1906,SEM VÍTIMA,FINALIZADA,2015-07-28T00:00:00,20:10:00.000,MADALENA,AV VISCONDE DE ALBUQUERQUE,931,SENTIDO CARREFOU PROX AO HOSPITAL D´AVILA ENFR AOS CORREIOS,COLISÃO,ONIBUS ESCOLAR E AUTO,1,,,,,1,,,,0
1907,SEM VÍTIMA,FINALIZADA,2015-07-28T00:00:00,20:16:00.000,VÁRZEA,RUA TAPIREMA,,TERMINAL DE ONIBUS DA UR 7 VARZEA,COLISÃO,COLISAO ENTRE AUTO E ONUBUS,1,,,,,1,,,,0
1908,SEM VÍTIMA,FINALIZADA,2015-07-28T00:00:00,20:20:00.000,VÁRZEA,AV CAXANGA,,PROX AO HOSPITAL BARÃO DE LUCENA E POSTO BR,COLISÃO,AUTO E ONIBUS,1,,,,,1,,,,0
1909,SEM VÍTIMA,CANCELADA,2015-07-28T00:00:00,22:20:00.000,AFOGADOS,RUA VINTE E UM DE ABRIL,375,PX AFOGADOS CENTER,COLISÃO,COLISÃO ENTRE AUTO E MOTO,1,1,,,,,,,,0
1910,COM VÍTIMA,FINALIZADA,2015-07-28T00:00:00,22:32:00.000,IMBIRIBEIRA,RUA ITACARI,,CRUZAMENTO DA RUA ITACARI COM A RUA CACHOEIRA,COLISÃO,VEICULO SOB PERSEGUIÇÃO COLIDE COM UMA MOTO E UM AUTO PASSEIO VT DA POLICIA ESTA NO LOCAL,2,1,,,,,,,,2
1911,SEM VÍTIMA,CANCELADA,2015-07-29T00:00:00,00:14:00.000,BOA VIAGEM,RUA BALTAZAR PASSOS,,"APÓS O CANAL, EM FRENTE AO RESTAURANTE DONA GULA",COLISÃO,COLISÃO ENTRE UM ONIBUS E UM AUTO PASSEIO,1,,,,,1,,,,0
1912,SEM VÍTIMA,CANCELADA,2015-07-29T00:00:00,00:35:00.000,BOA VIAGEM,RUA SARGENTO WALDIR CORREIA,,"CRUZAMENTO COM A RUA 20 DE JANEIRO, PRÓXIMO AO NÚMERO 237",COLISÃO,COLISÃO ENTRE DOIS AUTOS,2,,,,,,,,,0
1913,SEM VÍTIMA,FINALIZADA,2015-07-29T00:00:00,06:44:00.000,BOA VIAGEM,RUA RIBEIRO DE BRITO,,NO SEMAFORO Nº331,COLISÃO,COL.S/V,2,,,,,,,,,0
1914,SEM VÍTIMA,CANCELADA,2015-07-29T00:00:00,07:23:00.000,ENCRUZILHADA,RUA FREDERICO,194,"CRUZAMENTO COM A RUA EUVIRA, EM FRENTE AO RESTAURANTE SABOR DE PERNAMBUCO, PROX. AO CANAL DO ARRUDA",COLISÃO,COLISÃO ENTRE DOIS AUTO S/V,2,,,,,,,,,0
